acceleration,aggression,agility,balance,ball,composure,crossing,curve,defending,diving,dribbling,finishing,fk,handling,heading,interceptions,jumping,kicking,long,marking,pace,passing,penalties,physicality,player_id,positioning,raits,reactions,reflexes,shooting,short,shot,sliding,specialities,speed,sprint,stamina,standing,strength,vision,volleys,cam,cb,cdm,cf,cm,lb,lf,lm,lw,lwb,rb,rf,rm,rw,rwb,st,added_on,age,att_workrate,club,def_workrate,foot,height,intl_reputation,league,name,nation,origin,revision,skills,weak_foot,weight,colour,front_scores,overall_score,position,rareness
93,55,94,87,94,82,87,96,29,0,93,93,91,0,80,30,86,0,64,17,90,85,85,76,16464,88,"['Avoids Using Weaker Foot', 'Shooting - Finesse Shot', 'Flair', 'Playmaker', 'Technical Dribbler', 'Corner Specialist', 'Takes Finesse Style Free Kicks']",84,0,90,87,83,25,"['Dribbler', 'Crosser', 'FK Specialist', 'Acrobat', 'Clinical Finisher', 'Complete Forward', 'Poacher']",0,86,93,25,74,88,85,89,49,59,90,80,60,90,89,90,65,60,90,89,90,65,88,2017-01-25,23,Med,Juventus,Med,Left,176,3,Calcio A,Dybala,Argentina,TOTW19,SIF,4,3,73,gold,"{'PHY': '76', 'DEF': '29', 'DRI': '93', 'PAS': '85', 'SHO': '90', 'PAC': '90'}",88,CAM,rare
64,85,62,56,78,82,45,57,89,0,70,38,62,0,85,92,88,0,85,85,71,70,72,84,15285,39,"['Takes Powerful Driven Free Kicks', 'Leadership', 'Passing - Long Passer', 'Power Header', 'Ultimate Professional']",87,0,55,77,76,90,"['Tackler', 'Tactician', 'Strength', 'Complete Defender']",0,75,75,90,88,76,57,69,87,84,67,76,80,67,67,65,78,80,67,67,65,78,65,2016-11-02,30,Med,Juventus,High,Right,190,3,Calcio A,Bonucci,Italy,TOTW7,IF,2,3,86,gold,"{'PHY': '84', 'DEF': '89', 'DRI': '72', 'PAS': '70', 'SHO': '55', 'PAC': '71'}",88,CB,rare
92,52,93,86,93,82,81,89,26,0,92,91,85,0,72,27,81,0,60,15,89,79,83,72,15184,86,"['Avoids Using Weaker Foot', 'Shooting - Finesse Shot', 'Flair', 'Playmaker', 'Technical Dribbler', 'Corner Specialist', 'Takes Finesse Style Free Kicks']",83,0,88,81,81,22,"['Dribbler', 'Acrobat', 'Clinical Finisher']",0,85,88,22,70,82,83,86,45,55,87,77,57,87,86,88,62,57,87,86,88,62,85,2016-10-19,23,Med,Juventus,Med,Left,176,3,Calcio A,Dybala,Argentina,TOTW5,IF,4,3,73,gold,"{'PHY': '72', 'DEF': '26', 'DRI': '92', 'PAS': '79', 'SHO': '88', 'PAC': '89'}",87,ST,rare
64,82,60,54,75,82,44,56,87,0,68,37,61,0,84,90,85,0,83,84,70,68,70,81,103,38,"['Takes Powerful Driven Free Kicks', 'Leadership', 'Passing - Long Passer', 'Power Header', 'Ultimate Professional']",84,0,53,75,74,88,"['Tackler', 'Tactician']",0,74,73,88,85,74,55,67,85,82,65,74,78,65,66,63,76,78,65,66,63,76,64,2016-09-21,30,Med,Juventus,High,Right,190,3,Calcio A,Bonucci,Italy,N\A,Normal,2,3,86,gold,"{'PHY': '81', 'DEF': '87', 'DRI': '69', 'PAS': '68', 'SHO': '53', 'PAC': '70'}",87,CB,rare
69,78,60,64,65,82,40,50,89,0,60,27,31,0,76,92,90,0,65,90,74,56,60,84,15256,28,['Leadership'],82,0,37,65,54,90,"['Tackler', 'Tactician', 'Strength', 'Complete Defender']",0,79,70,90,92,58,35,58,85,78,56,64,78,56,59,56,74,78,56,59,56,74,55,2016-11-01,36,Low,Juventus,High,Right,187,3,Calcio A,Barzagli,Italy,Movember,Movember,2,3,87,gold,"{'PHY': '84', 'DEF': '89', 'DRI': '63', 'PAS': '56', 'SHO': '37', 'PAC': '74'}",87,CB,rare
85,94,86,85,91,80,89,86,85,0,86,66,82,0,77,90,87,0,85,76,89,85,78,77,18607,70,['Takes Powerful Driven Free Kicks'],88,0,78,89,96,93,"['Dribbler', 'Distance Shooter', 'Crosser', 'Tackler', 'Tactician', 'Acrobat', 'Complete Defender']",0,91,87,90,63,74,75,83,84,87,82,85,88,82,84,83,88,88,82,84,83,88,80,2017-05-13,34,High,Juventus,Low,Right,172,4,Calcio A,Dani Alves,Brazil,N\A,CMOTM,3,3,70,gold,"{'PHY': '77', 'DEF': '85', 'DRI': '88', 'PAS': '85', 'SHO': '78', 'PAC': '89'}",87,Alves,rare
92,53,92,85,92,82,83,91,26,0,91,91,87,0,72,27,84,0,61,15,89,81,83,74,15554,86,"['Avoids Using Weaker Foot', 'Shooting - Finesse Shot', 'Flair', 'Playmaker', 'Technical Dribbler', 'Corner Specialist', 'Takes Finesse Style Free Kicks']",82,0,88,83,81,22,"['Dribbler', 'FK Specialist', 'Acrobat', 'Clinical Finisher']",0,85,90,22,72,84,83,86,46,56,87,77,57,87,86,88,62,57,87,86,88,62,85,2016-12-21,23,Med,Juventus,Med,Left,176,3,Calcio A,Dybala,Argentina,N\A,SBC,4,3,73,gold,"{'PHY': '74', 'DEF': '26', 'DRI': '91', 'PAS': '81', 'SHO': '88', 'PAC': '89'}",87,ST,rare
86,77,85,82,88,80,97,86,86,0,89,65,66,0,74,89,82,0,78,82,90,85,68,84,18681,83,['Dribbler - Speed Dribbler'],86,0,74,87,87,89,"['Dribbler', 'Crosser', 'Tackler', 'Tactician']",0,93,99,89,78,79,76,84,84,86,83,85,89,83,87,85,90,89,83,87,85,90,81,2017-05-20,26,High,Juventus,High,Left,180,3,Calcio A,Alex Sandro,Brazil,N\A,MOTM,3,3,78,gold,"{'PHY': '84', 'DEF': '86', 'DRI': '88', 'PAS': '85', 'SHO': '74', 'PAC': '90'}",87,Sandro,rare
91,48,91,85,91,82,79,87,24,0,90,89,83,0,66,25,75,0,58,14,88,77,82,66,17457,85,"['Avoids Using Weaker Foot', 'Shooting - Finesse Shot', 'Flair', 'Playmaker', 'Technical Dribbler', 'Corner Specialist', 'Takes Finesse Style Free Kicks']",82,0,86,79,80,20,"['Dribbler', 'Acrobat', 'Clinical Finisher']",0,85,81,20,65,80,82,84,43,53,86,74,54,86,84,86,59,54,86,84,86,59,83,2017-02-19,23,Med,Juventus,Med,Left,176,3,Calcio A,Dybala,Argentina,Upgrades,Normal,4,3,73,gold,"{'PHY': '66', 'DEF': '24', 'DRI': '90', 'PAS': '77', 'SHO': '86', 'PAC': '88'}",86,ST,rare
84,91,84,83,89,80,85,82,82,0,84,65,78,0,74,87,83,0,81,73,88,81,76,74,15464,68,['Takes Powerful Driven Free Kicks'],86,0,76,85,94,90,"['Distance Shooter', 'Tackler', 'Tactician']",0,90,83,87,61,71,73,80,82,83,80,82,85,80,82,81,86,85,80,82,81,86,78,2016-12-09,34,High,Juventus,Low,Right,172,4,Calcio A,Dani Alves,Brazil,TOTGS,TOTGS,3,3,70,gold,"{'PHY': '74', 'DEF': '82', 'DRI': '86', 'PAS': '81', 'SHO': '76', 'PAC': '88', 'TOTGS': 'RB'}",86,Alves,rare
69,74,60,64,65,82,40,50,89,0,60,27,31,0,76,92,85,0,65,90,74,56,60,79,121,28,['Leadership'],82,0,37,65,54,90,"['Tackler', 'Tactician', 'Strength', 'Complete Defender']",0,79,66,90,87,58,35,58,84,78,56,64,77,56,58,56,74,77,56,58,56,74,55,2016-09-21,36,Low,Juventus,High,Right,187,3,Calcio A,Barzagli,Italy,N\A,Normal,2,3,87,gold,"{'PHY': '79', 'DEF': '89', 'DRI': '63', 'PAS': '56', 'SHO': '37', 'PAC': '74'}",86,CB,rare
77,78,81,76,85,84,76,78,76,0,82,65,78,0,68,82,67,0,85,72,77,83,78,75,129,82,"['Leadership', 'Flair', 'Shooting - Long Shot Taker', 'Ultimate Professional', 'Technical Dribbler']",86,0,74,87,82,78,['None'],0,77,82,78,72,84,76,82,77,81,81,84,79,81,81,80,80,79,81,81,80,80,77,2016-09-21,31,High,Juventus,High,Right,180,3,Calcio A,Marchisio,Italy,N\A,Normal,4,4,71,gold,"{'PHY': '75', 'DEF': '76', 'DRI': '83', 'PAS': '83', 'SHO': '74', 'PAC': '77'}",86,CM,rare
93,78,95,82,88,76,86,86,60,0,94,79,78,0,69,64,86,0,79,57,95,83,72,78,18127,85,"['Takes Powerful Driven Free Kicks', 'Selfish', 'Flair', 'Shooting - Long Shot Taker', 'Technical Dribbler']",79,0,84,87,91,68,"['Speedster', 'Dribbler', 'Distance Shooter', 'Crosser', 'Acrobat']",0,96,92,54,69,75,81,86,68,74,86,82,76,86,87,87,78,76,86,87,87,78,84,2017-03-22,29,High,Juventus,Med,Right,178,3,Calcio A,Cuadrado,Colombia,TOTW27,SIF,5,3,71,gold,"{'PHY': '78', 'DEF': '60', 'DRI': '91', 'PAS': '83', 'SHO': '84', 'PAC': '95'}",86,RM,rare
75,64,80,80,92,84,81,88,66,0,85,74,93,0,61,70,63,0,86,59,75,88,84,71,15320,81,"['Shooting - Finesse Shot', 'Shooting - Long Shot Taker', 'Playmaker', 'Technical Dribbler', 'Takes Finesse Style Free Kicks']",87,0,80,91,84,66,"['Play Maker', 'FK Specialist']",0,75,82,70,67,90,75,86,69,78,84,86,75,84,84,84,78,75,84,84,84,78,79,2016-11-09,27,Med,Juventus,Med,Right,180,3,Calcio A,Pjanic,Bosnia Herzegovina,TOTW8,IF,4,4,74,gold,"{'PHY': '71', 'DEF': '66', 'DRI': '87', 'PAS': '88', 'SHO': '80', 'PAC': '75'}",86,CM,rare
85,73,81,78,84,80,91,81,82,0,85,62,62,0,70,85,78,0,73,78,89,80,64,80,17885,78,['Dribbler - Speed Dribbler'],82,0,70,82,83,85,['Crosser'],0,92,95,85,74,74,72,79,80,82,80,80,85,80,83,81,86,85,80,83,81,86,77,2017-03-01,26,High,Juventus,High,Left,180,3,Calcio A,Alex Sandro,Brazil,TOTW24,IF,3,3,78,gold,"{'PHY': '80', 'DEF': '82', 'DRI': '84', 'PAS': '80', 'SHO': '70', 'PAC': '89', 'TOTW24': 'LB'}",86,Sandro,rare
84,91,85,84,90,80,86,83,81,0,85,63,79,0,73,86,83,0,82,72,88,82,74,74,15584,66,['Takes Powerful Driven Free Kicks'],87,0,74,86,91,89,"['Crosser', 'Tackler', 'Tactician']",0,90,83,86,61,72,71,81,81,83,80,82,85,80,82,81,86,85,80,82,81,86,77,2016-12-23,34,High,Juventus,Low,Right,172,4,Calcio A,Dani Alves,Brazil,N\A,SBC,3,3,70,gold,"{'PHY': '74', 'DEF': '81', 'DRI': '87', 'PAS': '82', 'SHO': '74', 'PAC': '88'}",86,Alves,rare
75,64,80,80,92,84,81,88,66,0,85,74,93,0,61,70,63,0,86,59,75,88,84,71,15094,81,"['Shooting - Finesse Shot', 'Shooting - Long Shot Taker', 'Playmaker', 'Technical Dribbler', 'Takes Finesse Style Free Kicks']",87,0,80,91,84,66,"['Play Maker', 'FK Specialist']",0,75,82,70,67,90,75,86,69,78,84,86,75,84,84,84,78,75,84,84,84,78,79,2016-09-30,27,Med,Juventus,Med,Right,180,3,Calcio A,Pjanic,Bosnia Herzegovina,Ones To Watch,OTW,4,4,74,gold,"{'PHY': '71', 'DEF': '66', 'DRI': '87', 'PAS': '88', 'SHO': '80', 'PAC': '75', 'Watch': 'To'}",86,CM,rare
69,91,64,57,82,80,59,56,45,0,78,91,48,0,96,42,88,0,43,30,72,64,81,88,15149,95,"['Dives Into Tackles', 'Tries To Beat Defensive Line', 'Power Header']",91,0,84,75,84,51,"['Aerial Threat', 'Strength', 'Complete Forward', 'Poacher']",0,74,81,42,90,66,91,77,63,61,82,70,62,82,76,78,63,62,82,76,78,63,86,2016-10-12,31,High,Juventus,High,Right,190,3,Calcio A,Mandžukic,Croatia,TOTW4,IF,2,3,85,gold,"{'PHY': '88', 'DEF': '45', 'DRI': '78', 'PAS': '64', 'SHO': '84', 'PAC': '72'}",85,ST,rare
92,74,94,81,87,76,83,83,57,0,93,76,75,0,66,61,81,0,76,54,94,80,70,74,17269,82,"['Takes Powerful Driven Free Kicks', 'Selfish', 'Flair', 'Shooting - Long Shot Taker', 'Technical Dribbler']",78,0,81,84,88,64,"['Speedster', 'Dribbler', 'Distance Shooter', 'Acrobat']",0,95,88,51,66,72,78,84,65,71,84,79,73,84,85,85,76,73,84,85,85,76,81,2017-02-08,29,High,Juventus,Med,Right,178,3,Calcio A,Cuadrado,Colombia,TOTW21,IF,5,3,71,gold,"{'PHY': '74', 'DEF': '57', 'DRI': '90', 'PAS': '80', 'SHO': '81', 'PAC': '94'}",85,RM,rare
66,89,66,61,75,77,50,37,87,0,65,57,30,0,89,81,83,0,68,88,70,60,48,86,18037,46,"['Injury Prone', 'Power Header']",92,0,52,73,69,88,"['Tackler', 'Strength']",0,73,73,89,91,52,36,64,86,80,65,68,79,65,66,63,76,79,65,66,63,76,68,2017-03-15,30,Med,Juventus,Med,Right,190,3,Calcio A,Benatia,Morocco,TOTW26,IF,2,3,92,gold,"{'PHY': '86', 'DEF': '87', 'DRI': '70', 'PAS': '60', 'SHO': '52', 'PAC': '70'}",85,CB,rare
84,85,81,80,85,80,80,77,78,0,81,60,74,0,71,83,78,0,76,70,87,76,70,69,141,63,['Takes Powerful Driven Free Kicks'],82,0,70,80,87,86,['None'],0,89,78,83,57,67,68,76,78,79,76,77,82,76,78,77,82,82,76,78,77,82,74,2016-09-21,34,High,Juventus,Low,Right,172,4,Calcio A,Dani Alves,Brazil,N\A,Normal,3,3,70,gold,"{'PHY': '69', 'DEF': '78', 'DRI': '82', 'PAS': '76', 'SHO': '70', 'PAC': '87'}",85,Alves,rare
74,62,78,78,89,84,80,86,64,0,83,70,91,0,60,68,61,0,85,58,74,86,79,68,150,76,"['Shooting - Finesse Shot', 'Shooting - Long Shot Taker', 'Playmaker', 'Technical Dribbler', 'Takes Finesse Style Free Kicks']",84,0,75,89,79,64,"['Play Maker', 'FK Specialist']",0,74,79,68,65,88,71,83,67,76,81,83,73,81,82,81,76,73,81,82,81,76,76,2016-09-21,27,Med,Juventus,Med,Right,180,3,Calcio A,Pjanic,Bosnia Herzegovina,N\A,Normal,4,4,74,gold,"{'PHY': '68', 'DEF': '64', 'DRI': '84', 'PAS': '86', 'SHO': '75', 'PAC': '74'}",85,CM,rare
91,48,91,85,91,82,78,86,23,0,90,89,82,0,64,24,75,0,58,14,88,76,82,66,163,85,"['Avoids Using Weaker Foot', 'Shooting - Finesse Shot', 'Flair', 'Playmaker', 'Technical Dribbler', 'Corner Specialist', 'Takes Finesse Style Free Kicks']",82,0,86,78,80,20,"['Dribbler', 'Acrobat', 'Clinical Finisher']",0,85,81,20,65,79,82,84,42,53,85,74,54,85,84,86,59,54,85,84,86,59,83,2016-09-21,23,Med,Juventus,Med,Left,176,3,Calcio A,Dybala,Argentina,N\A,Normal,4,3,73,gold,"{'PHY': '66', 'DEF': '23', 'DRI': '90', 'PAS': '76', 'SHO': '86', 'PAC': '88'}",85,ST,rare
68,90,61,55,79,80,57,54,44,0,75,87,46,0,94,41,87,0,42,29,71,62,77,87,15213,91,"['Dives Into Tackles', 'Tries To Beat Defensive Line', 'Power Header']",88,0,80,73,80,50,"['Aerial Threat', 'Strength', 'Complete Forward', 'Poacher']",0,73,80,41,89,64,87,74,61,60,79,68,60,79,74,75,61,60,79,74,75,61,83,2016-10-21,31,High,Juventus,High,Right,190,3,Calcio A,Mandžukic,Croatia,ScreamTeam,Halloween,2,3,85,gold,"{'PHY': '87', 'DEF': '44', 'DRI': '75', 'PAS': '62', 'SHO': '80', 'PAC': '71'}",84,ST,rare
84,70,79,76,81,80,86,76,79,0,82,57,59,0,68,82,75,0,69,76,87,75,59,76,194,72,['Dribbler - Speed Dribbler'],80,0,64,77,76,82,['None'],0,90,91,82,71,70,66,76,77,78,76,76,82,76,79,77,83,82,76,79,77,83,73,2016-09-21,26,High,Juventus,High,Left,180,3,Calcio A,Alex Sandro,Brazil,N\A,Normal,3,3,78,gold,"{'PHY': '76', 'DEF': '79', 'DRI': '81', 'PAS': '75', 'SHO': '64', 'PAC': '87'}",84,Sandro,rare
91,68,92,79,85,76,78,78,55,0,91,71,70,0,63,59,75,0,71,52,92,75,65,68,17465,77,"['Takes Powerful Driven Free Kicks', 'Selfish', 'Flair', 'Shooting - Long Shot Taker', 'Technical Dribbler']",76,0,76,79,83,62,"['Speedster', 'Dribbler', 'Acrobat']",0,93,81,49,61,67,73,80,62,67,80,75,70,80,81,82,73,70,80,81,82,73,78,2017-02-19,29,High,Juventus,Med,Right,178,3,Calcio A,Cuadrado,Colombia,Upgrades,Normal,5,3,71,gold,"{'PHY': '68', 'DEF': '55', 'DRI': '88', 'PAS': '75', 'SHO': '76', 'PAC': '92'}",83,RM,rare
62,73,71,62,74,70,47,53,87,0,68,37,29,0,79,88,83,0,70,88,65,61,32,80,15564,32,['None'],84,0,44,70,65,85,"['Tackler', 'Tactician']",0,67,76,88,84,59,39,62,83,79,60,68,77,60,63,60,75,77,60,63,60,75,60,2016-12-21,22,Low,Juventus,Med,Right,190,1,Calcio A,Rugani,Italy,TOTW14,IF,2,3,82,gold,"{'PHY': '80', 'DEF': '87', 'DRI': '71', 'PAS': '61', 'SHO': '44', 'PAC': '65'}",83,CB,rare
78,84,75,77,75,80,82,68,79,0,76,45,66,0,72,82,75,0,71,76,81,73,66,80,219,68,['Dribbler - Speed Dribbler'],80,0,59,77,74,82,['None'],0,84,88,82,75,62,62,71,79,78,71,74,81,71,74,73,81,81,71,74,73,81,69,2016-09-21,33,High,Juventus,High,Right,182,3,Calcio A,Lichtsteiner,Switzerland,N\A,Normal,2,3,75,gold,"{'PHY': '80', 'DEF': '79', 'DRI': '76', 'PAS': '73', 'SHO': '59', 'PAC': '81'}",83,RB,rare
64,84,58,54,66,77,45,34,83,0,57,49,27,0,85,78,79,0,62,84,67,54,41,81,242,39,"['Injury Prone', 'Power Header']",81,0,44,66,59,84,['Strength'],0,70,69,85,86,47,31,57,81,74,58,62,74,58,59,57,71,74,58,59,57,71,60,2016-09-21,30,Med,Juventus,Med,Right,190,3,Calcio A,Benatia,Morocco,N\A,Normal,2,3,92,gold,"{'PHY': '81', 'DEF': '83', 'DRI': '61', 'PAS': '54', 'SHO': '44', 'PAC': '67'}",83,CB,rare
64,82,58,55,79,84,72,68,81,0,78,70,68,0,76,86,69,0,79,76,66,78,69,85,245,80,"['Injury Prone', 'Leadership']",86,0,76,83,84,78,"['Tactician', 'Strength']",0,68,79,86,91,80,76,78,82,82,78,81,79,78,77,76,79,79,78,77,76,79,78,2016-09-21,30,High,Juventus,High,Right,189,3,Calcio A,Khedira,Germany,N\A,Normal,2,4,90,gold,"{'PHY': '85', 'DEF': '81', 'DRI': '76', 'PAS': '78', 'SHO': '76', 'PAC': '66'}",83,CM,rare
68,88,60,54,77,80,56,53,42,0,73,85,45,0,90,40,85,0,41,28,70,60,76,85,247,89,"['Dives Into Tackles', 'Tries To Beat Defensive Line', 'Power Header']",86,0,78,71,78,48,"['Aerial Threat', 'Strength']",0,72,79,40,87,62,85,72,60,58,77,66,59,77,72,73,60,59,77,72,73,60,81,2016-09-21,31,High,Juventus,High,Right,190,3,Calcio A,Mandžukic,Croatia,N\A,Normal,2,3,85,gold,"{'PHY': '85', 'DEF': '42', 'DRI': '73', 'PAS': '60', 'SHO': '78', 'PAC': '70'}",83,ST,rare
79,82,79,87,75,80,82,76,83,0,74,33,51,0,80,86,89,0,69,82,77,72,57,73,279,68,"['Leadership', 'Dribbler - Speed Dribbler', 'Power Header']",78,0,51,75,72,86,['None'],0,75,69,82,69,62,53,69,81,77,68,72,80,68,71,70,79,80,68,71,70,79,66,2016-09-21,36,Med,Juventus,High,Left,174,3,Calcio A,Evra,France,N\A,Normal,3,2,74,gold,"{'PHY': '73', 'DEF': '83', 'DRI': '76', 'PAS': '72', 'SHO': '51', 'PAC': '77'}",82,LB,rare
91,68,91,79,85,76,76,76,50,0,90,71,69,0,58,54,75,0,70,48,92,73,65,68,325,76,"['Takes Powerful Driven Free Kicks', 'Selfish', 'Flair', 'Shooting - Long Shot Taker', 'Technical Dribbler']",76,0,75,77,82,57,"['Speedster', 'Dribbler', 'Acrobat']",0,93,81,45,61,66,73,79,59,65,80,74,67,80,80,81,70,67,80,80,81,70,77,2016-09-21,29,High,Juventus,Med,Right,178,3,Calcio A,Cuadrado,Colombia,N\A,Normal,5,3,71,gold,"{'PHY': '68', 'DEF': '50', 'DRI': '87', 'PAS': '73', 'SHO': '75', 'PAC': '92'}",82,RM,rare
87,52,84,76,89,70,82,86,30,0,88,65,77,0,72,32,72,0,76,17,87,80,77,74,17710,64,['Technical Dribbler'],67,0,72,83,81,25,['Dribbler'],0,87,79,27,79,73,77,79,47,57,78,73,56,78,80,80,61,56,78,80,80,61,76,2017-02-24,22,Med,Juventus,Med,Right,186,1,Calcio A,Pjaca,Croatia,N\A,CMOTM,4,4,81,gold,"{'PHY': '74', 'DEF': '30', 'DRI': '86', 'PAS': '80', 'SHO': '72', 'PAC': '87'}",81,RM,rare
68,54,74,78,87,78,80,84,55,0,84,57,85,0,60,70,61,0,81,50,64,84,80,66,525,60,"['Flair', 'Shooting - Long Shot Taker', 'Playmaker', 'Technical Dribbler', 'Corner Specialist', 'Takes Finesse Style Free Kicks']",74,0,71,85,88,46,['Distance Shooter'],0,60,67,50,71,86,80,78,61,69,76,78,65,76,76,76,68,65,76,76,76,68,71,2016-09-21,32,Med,Juventus,Med,Right,180,3,Calcio A,Hernanes,Brazil,N\A,Normal,4,5,77,gold,"{'PHY': '66', 'DEF': '55', 'DRI': '83', 'PAS': '84', 'SHO': '71', 'PAC': '64'}",80,CM,rare
80,70,82,82,81,78,76,72,71,0,84,65,68,0,56,76,79,0,77,68,80,77,64,76,548,76,"['Injury Prone', 'Avoids Using Weaker Foot', 'Shooting - Long Shot Taker', 'Dribbler - Speed Dribbler']",78,0,73,79,84,74,['None'],0,80,85,74,73,76,76,78,72,76,78,79,76,78,79,78,78,76,78,79,78,78,75,2016-09-21,28,High,Juventus,High,Left,173,2,Calcio A,Asamoah,Ghana,N\A,Normal,4,3,76,gold,"{'PHY': '76', 'DEF': '71', 'DRI': '82', 'PAS': '77', 'SHO': '73', 'PAC': '80'}",80,CM,rare
61,68,62,55,65,70,40,45,84,0,60,33,25,0,76,85,78,0,59,85,64,51,29,75,17479,29,['None'],74,0,39,59,58,82,['None'],0,66,71,85,79,50,35,55,79,73,54,60,72,54,56,53,70,72,54,56,53,70,54,2017-02-19,22,Low,Juventus,Med,Right,190,1,Calcio A,Rugani,Italy,Upgrades,Normal,2,3,82,gold,"{'PHY': '75', 'DEF': '84', 'DRI': '62', 'PAS': '51', 'SHO': '39', 'PAC': '64'}",80,CB,rare
53,40,59,49,24,72,11,12,0,84,19,15,13,80,14,15,79,83,36,19,0,0,22,0,14691,74,['Puncher'],74,74,0,36,28,15,['None'],53,49,39,14,63,40,12,32,29,31,30,32,28,30,31,30,28,28,30,31,30,28,28,2016-09-21,27,Med,Juventus,Med,Right,192,1,Calcio A,Neto,Brazil,N\A,Normal,1,2,84,gold,"{'POS': '74', 'SPE': '53', 'REF': '83', 'KIC': '74', 'HAN': '80', 'DIV': '84'}",80,GK,rare
61,66,62,55,65,70,40,45,83,0,60,33,25,0,76,84,75,0,59,84,63,51,29,72,778,29,['None'],74,0,39,59,58,82,['None'],0,65,69,84,76,50,35,55,78,72,54,60,72,54,55,53,69,72,54,55,53,69,54,2016-09-21,22,Low,Juventus,Med,Right,190,1,Calcio A,Rugani,Italy,N\A,Normal,2,3,82,gold,"{'PHY': '72', 'DEF': '83', 'DRI': '62', 'PAS': '51', 'SHO': '39', 'PAC': '63'}",79,CB,rare
75,84,75,76,77,74,68,64,74,0,76,57,64,0,56,76,67,0,75,72,75,73,68,79,1216,72,"['Dives Into Tackles', 'Shooting - Long Shot Taker']",70,0,68,77,78,78,['None'],0,75,89,78,73,72,74,74,74,77,72,76,75,72,74,73,76,75,72,74,73,76,70,2016-09-21,24,High,Juventus,High,Right,181,2,Calcio A,Sturaro,Italy,N\A,Normal,2,3,79,gold,"{'PHY': '79', 'DEF': '74', 'DRI': '76', 'PAS': '73', 'SHO': '68', 'PAC': '75'}",77,CM,non-rare
79,78,79,79,81,74,72,68,64,0,78,55,68,0,56,70,55,0,77,60,79,76,68,78,1277,72,"['Flair', 'Chip Shot', 'Technical Dribbler']",74,0,66,81,78,66,['None'],0,79,79,66,79,76,68,76,69,74,75,76,71,75,76,75,73,71,75,76,75,73,71,2016-09-21,23,Med,Juventus,Med,Right,183,2,Calcio A,Lemina,Gabon,N\A,Normal,3,3,83,gold,"{'PHY': '78', 'DEF': '64', 'DRI': '79', 'PAS': '76', 'SHO': '66', 'PAC': '79'}",77,CM,rare
75,81,72,80,76,70,69,50,74,0,71,58,52,0,59,75,91,0,78,74,72,73,46,78,15652,65,['None'],74,0,64,79,77,75,['None'],0,69,83,78,72,73,60,72,74,77,71,75,75,71,73,71,75,75,71,73,71,75,68,2017-01-06,29,Med,Juventus,High,Right,175,2,Calcio A,Rincón,Venezuela,Transfers,Normal,2,3,75,gold,"{'PHY': '78', 'DEF': '74', 'DRI': '73', 'PAS': '73', 'SHO': '64', 'PAC': '72'}",76,CM,non-rare
85,50,83,75,87,70,76,80,28,0,86,61,72,0,68,30,69,0,71,16,85,74,72,70,1684,60,['Technical Dribbler'],66,0,67,77,76,24,['Dribbler'],0,85,75,26,75,68,72,75,45,54,74,70,54,74,76,76,58,54,74,76,76,58,72,2016-09-21,22,Med,Juventus,Med,Right,186,1,Calcio A,Pjaca,Croatia,N\A,Normal,4,4,81,gold,"{'PHY': '70', 'DEF': '28', 'DRI': '84', 'PAS': '74', 'SHO': '67', 'PAC': '85'}",76,LW,non-rare
79,66,75,73,73,64,72,76,70,0,70,42,59,0,68,60,55,0,63,68,79,67,59,70,3672,60,"['Shooting - Long Shot Taker', 'Dribbler - Speed Dribbler']",60,0,59,69,76,76,['None'],0,79,79,76,69,60,69,66,69,68,66,67,71,66,68,67,71,71,66,68,67,71,64,2016-09-21,21,Med,Juventus,Med,Left,182,1,Calcio A,Mattiello,Italy,N\A,Normal,3,4,77,silver,"{'PHY': '70', 'DEF': '70', 'DRI': '71', 'PAS': '67', 'SHO': '59', 'PAC': '79'}",72,LB,non-rare
69,50,75,59,65,70,76,78,69,0,72,34,60,0,72,72,79,0,65,64,74,66,68,65,3238,62,['Injury Prone'],66,0,51,65,63,76,['None'],0,79,75,70,65,58,61,64,68,67,63,65,71,63,66,65,71,71,63,66,65,71,61,2016-09-21,30,High,Juventus,Med,Left,184,2,Calcio A,De Ceglie,Italy,N\A,Normal,2,2,75,silver,"{'PHY': '65', 'DEF': '69', 'DRI': '69', 'PAS': '66', 'SHO': '51', 'PAC': '74'}",72,Ceglie,non-rare
55,58,71,75,74,66,62,66,64,0,68,39,54,0,60,63,58,0,70,60,60,68,52,74,5917,43,['Playmaker'],63,0,50,74,66,64,['None'],0,65,79,70,79,68,52,64,66,69,61,68,66,61,64,62,67,66,61,64,62,67,58,2016-09-21,19,Med,Juventus,High,Left,183,1,Calcio A,Mandragora,Italy,N\A,Normal,2,2,76,silver,"{'PHY': '74', 'DEF': '64', 'DRI': '70', 'PAS': '68', 'SHO': '50', 'PAC': '60'}",69,CM,non-rare
55,24,53,51,18,45,13,12,0,72,19,16,12,64,19,11,65,76,19,8,0,0,22,0,7019,60,['None'],51,60,0,29,23,10,['None'],55,49,25,10,55,30,18,26,22,21,25,23,22,25,26,26,22,22,25,26,26,22,25,2016-09-21,20,Med,Juventus,Med,Right,190,1,Calcio A,Audero,Italy,N\A,Normal,1,2,81,silver,"{'POS': '60', 'SPE': '55', 'REF': '76', 'KIC': '60', 'HAN': '64', 'DIV': '72'}",67,GK,rare
